"timeBlock","day1_powerConsumption","day2_powerConsumption","day3_powerConsumption","day4_powerConsumption","day5_powerConsumption","day6_powerConsumption","day7_powerConsumption","day8_powerConsumption","day9_powerConsumption","day10_powerConsumption","day11_powerConsumption","day12_powerConsumption"
"0","0.5756","0.5756","0.5756","0.5756","0.5756","0.7481","0.6332","0.5756","0.5756","0.5756","1.223","0.5756"
"1","0.5756","0.8513999999999999","0.5756","0.5756","0.5756","0.7649","0.8444","0.5756","0.5756","0.5756","0.6812","0.5756"
"2","0.5756","0.6938","0.5756","0.8766","0.5756","0.85","0.6332","0.5756","0.5756","0.5756","0.6173","0.5756"
"3","0.5756","0.5756","0.7706","0.7046","0.5756","0.654","0.5756","0.5756","0.5756","0.5756","0.8172","0.5756"
"4","0.5756","0.5756","0.7901","0.5756","0.5756","0.5756","0.5756","0.7016","0.7388","0.5756","0.7046","0.5756"
"5","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756","0.8276","0.8408","0.6914","0.8458","0.6488"
"6","0.5756","0.5756","0.5756","0.7261","0.5756","0.5756","0.8251999999999999","0.5756","0.5756","0.8458","0.7107","0.8318"
"7","0.8318","0.6347","0.5756","0.8766","0.5756","0.5756","0.7292","0.5756","0.5756","0.5756","0.5756","0.6122"
"8","0.7037","0.8513999999999999","0.8486","0.5756","0.7004","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756"
"9","0.5756","0.6347","0.6926","0.5756","0.8668","0.5756","0.5756","0.6656","0.8408","0.5756","0.5756","0.5756"
"10","0.5756","0.5756","0.5756","0.5756","0.5756","0.7128","0.5756","0.8276","0.7388","0.6721","0.5756","0.6854"
"11","0.5756","0.5756","0.5756","0.5756","0.5756","0.85","0.5756","0.5936","0.5756","0.8458","0.5756","0.8318"
"12","0.5756","0.5756","0.6536","0.8766","0.5756","0.5756","0.5756","0.5756","0.5756","0.5949","0.8072","0.5756"
"13","0.6305000000000001","0.7923","0.8486","0.7046","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756","0.7493","0.5756"
"14","0.8318","0.7726","0.6146","0.5756","0.5756","0.5756","0.5756","0.5756","0.596","0.5756","0.5756","0.5756"
"15","0.6305000000000001","0.5756","0.5756","1.1441","0.6796","0.5756","0.7292","0.7916","0.8612","0.5756","0.5756","0.8135"
"16","0.5756","0.5756","0.5756","0.7476","0.8668","0.5756","0.8251999999999999","0.7376","0.6776","0.5756","0.5756","0.722"
"17","0.5756","0.5756","0.5951","0.8551","0.5964","0.5756","0.5756","0.5756","0.5756","0.7879","0.5756","0.5756"
"18","0.6671","0.7726","0.8486","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756","0.7686","0.5949","0.5756"
"19","0.8318","0.7923","0.6731","0.5756","0.5756","0.6736","0.5756","0.5756","0.5756","0.5756","0.8458","0.7037"
"20","0.5939","0.5756","0.5756","0.5756","0.5756","0.85","0.5756","0.5756","0.5756","0.5756","0.6721","0.8318"
"21","0.5756","0.5756","0.5756","0.8336","0.7836","0.5952","0.8444","0.8276","0.5756","0.5756","0.5756","0.5756"
"22","0.5756","0.5756","0.5756","0.7691","0.8044","0.5756","0.6908","0.6836","0.8612","0.5756","0.5756","0.5756"
"23","0.5756","0.7135","0.5756","0.5756","0.5756","0.5756","0.5756","0.5756","0.698","0.5756","0.6528","0.5756"
"24","0.7403","0.8513999999999999","0.5756","0.5756","0.5756","0.7323999999999999","0.5756","0.5756","0.5756","0.6914","0.8458","0.7403"
"25","0.7952","0.5756","0.7511","1.1348","1.2032","0.8304","0.5756","0.5756","0.5756","0.8458","0.6142","0.7952"
"26","0.5756","0.5756","0.8096","0.7209","1.4429","0.5756","0.6908","0.8276","0.5756","0.5756","0.5756","0.5756"
"27","0.5756","0.5756","0.5756","1.1454","0.9362","0.5756","1.2222","0.7016","0.6776","1.1873","0.5756","0.5756"
"28","0.5756","0.5756","0.5756","0.8529","0.7282","0.7168","0.5756","0.5756","0.8612","0.5756","0.5756","0.5756"
"29","0.5756","1.2809","0.579","1.1095","0.7322","1.2854","1.1423","0.5756","0.596","1.1873","0.8265","0.7769"
"30","0.6122","1.166","0.6232","0.9703999999999999","0.7422","1.2658","1.1423","0.6295999999999999","0.5756","0.5756","0.9106","0.7585999999999999"
"31","0.8318","0.9718","0.6232","1.2266","0.9263","1.0698","0.9285","0.8276","0.5756","3.6166","3.4442","0.59"
"32","0.6488","1.0824","0.8326","1.2069","0.7004","1.1203","1.2406","0.6295999999999999","0.599","1.3777","2.3242000000000003","0.8585"
"33","0.5756","1.0814","2.8102","1.1035","0.5756","1.0702","0.9718","0.5756","0.7454000000000001","0.9397","0.7217","1.3587"
"34","0.5756","0.9652000000000001","5.8707","0.8130999999999999","0.6232","1.1384","0.5756","0.5756","0.759","0.9976","2.8571","2.7138"
"35","0.7585999999999999","0.9480000000000001","0.8794","0.8824","0.867","1.1188","0.9263","0.5756","1.2226","0.7624","0.7686","1.6105"
"36","0.7825","1.1844000000000001","0.8882","3.7018","1.0502","0.9228","3.4118","0.5756","3.9202","0.7588","0.7879","2.2681999999999998"
"37","0.9482","2.0049","1.1034","1.9171","0.758","0.9228","3.3118","0.5756","2.6942","4.1582","0.5756","2.502"
"38","0.5952","3.825","0.9648","0.9191","0.745","0.7716000000000001","0.7676000000000001","0.5756","0.7594","1.9667999999999999","0.5756","0.6428"
"39","0.6012","1.2471","0.7644","1.1654","0.745","0.7744","0.5756","0.5756","1.8245","1.0049000000000001","0.5756","1.3493"
"40","0.7037","1.1182","0.7184","1.8505","1.0194","1.046","0.5756","0.7016","3.7543999999999995","1.8880000000000001","0.8458","0.8318"
"41","0.8552","1.3622","0.9097999999999999","3.5664000000000002","1.5206","1.1092","0.5756","0.8276","0.9148","0.955","0.7107","0.6488"
"42","0.6106","0.8734","0.6254","0.9428","3.8439","0.8108","0.5756","0.5756","0.962","0.7977","0.5756","0.5756"
"43","0.5924","0.7118","1.1129","0.9428","1.1468","0.8108","0.6332","0.5756","0.6764","0.7856","0.5756","0.5756"
"44","0.5924","0.7118","0.9116","1.1973","0.9396","0.8024","0.8444","0.5756","0.6764","2.1838","0.7107","0.6025"
"45","1.4936","0.7295","0.6731","1.3628","1.1476","0.9088","0.6332","0.7916","0.7118","4.3344000000000005","0.8458","0.735"
"46","0.8566","0.8591","0.5756","3.6786000000000003","1.1657","1.0514999999999999","0.5756","0.7376","0.7118","1.3609","0.5756","0.7413"
"47","0.7492","0.5756","0.5756","1.3002","0.7666","0.8822","0.5756","0.5756","0.9947","0.8296","0.5756","0.9396"
"48","0.7864","0.5756","0.5756","0.6462","0.7422","1.1179999999999999","0.7867999999999999","0.5756","0.9656","0.7978000000000001","0.5756","0.7672"
"49","0.8794","0.8513999999999999","0.8486","0.5952","0.7422","0.7422","0.7676000000000001","0.5756","0.5756","1.2444","0.5756","0.5834"
"50","3.1596","0.6938","0.7178","0.8336","0.8927","0.7367","0.5756","0.5756","0.5756","0.7879","0.73","0.5938"
"51","2.4613","0.5756","0.6856","0.7691","0.746","0.9424","0.5756","0.5756","0.6572","0.5756","0.8265","0.5821"
"52","0.952","0.5756","0.7781","0.5756","0.5756","0.8183","0.5756","0.5756","0.8612","1.1717","0.5756","0.8318"
"53","0.9558","0.5756","0.6726","0.5756","0.5756","0.5994","0.5756","0.6116","0.6164","3.6867","0.5756","0.6854"
"54","0.5756","0.8513999999999999","0.9007","0.5756","0.748","0.6302","0.5756","0.8276","0.5756","2.5375","0.5756","0.5756"
"55","0.5756","0.6938","0.8086","0.8766","1.0194","0.6890000000000001","0.8444","0.6476","0.5756","0.9054","0.5756","0.5756"
"56","0.5756","0.5756","1.2922","0.7921","0.7024","0.8903","0.6908","0.5756","0.7184","0.966","0.8458","0.5939"
"57","0.7769","0.5756","2.6052","0.8066","0.6301","0.7015","0.5756","0.5756","0.8612","0.9184","0.6914","0.8318"
"58","0.7585999999999999","0.5756","2.1256","0.8306","0.5756","0.731","0.5756","0.7376","0.5756","0.9022","0.5756","1.5649"
"59","0.7256","0.5756","0.9781","0.7376","0.5756","0.7226","0.5756","0.7916","0.5756","0.8854","0.5756","3.4888000000000003"
"60","2.5063","0.7923","1.2691","0.8766","0.7212000000000001","0.871","0.8251999999999999","0.5756","0.5756","0.8854","0.5756","0.9433"
"61","3.0215","0.7726","0.6484","0.6401","0.8668","3.8872999999999998","0.7292","0.5756","0.5756","1.3815","1.048","0.7281"
"62","0.8542","0.5756","1.1666","0.8837","0.5756","0.85","0.5756","0.5756","0.6684","1.0956000000000001","1.0719","0.8098"
"63","1.1104","0.5756","2.8436","0.8616","0.5756","1.1932","0.5756","0.5756","1.1094","1.0894","0.9368000000000001","1.1971"
"64","0.9301","0.7513","1.0782","0.8835999999999999","0.6192","1.018","0.9718","0.5756","1.1388","1.1019999999999999","0.9224","1.1158000000000001"
"65","0.696","1.3974","0.8214","0.9294","0.9261","0.9348","1.2214","0.6836","0.9144","1.116","3.9723999999999995","1.2101"
"66","0.8797","0.6741","0.7866","1.2741","0.9778","0.9396","1.6921","1.2436","0.9144","1.158","1.8987","1.2993000000000001"
"67","1.08","0.5756","0.8009999999999999","0.9291","0.7306","1.3154","0.7912","0.9964000000000001","0.9144","1.351","0.947","1.5674"
"68","1.2836","0.5756","0.9836","1.0808","0.7706","1.0376","0.8002","0.7912","0.9074","1.2692","0.8318","2.0897"
"69","3.3129999999999997","0.5756","1.0432000000000001","0.827","0.7908","1.5897999999999999","0.6736","0.7954","1.0554999999999999","0.6653","0.8378","1.16"
"70","1.2793","0.6544","0.8944","1.0354","1.0326","1.8843","0.6924","0.9945999999999999","1.224","0.5756","3.0473","1.0332"
"71","1.8083","0.8513999999999999","1.3082","1.2504","1.0308","1.0151","3.1308","1.0473","0.9774","0.5756","1.2615","0.9732000000000001"
"72","4.0283999999999995","0.615","0.8906000000000001","0.9924000000000001","0.787","0.9816","3.3616","1.1118000000000001","0.9956","0.7879","1.1539","1.2023"
"73","2.705","0.5756","3.6566","2.9924","0.755","0.9741","2.3638000000000003","1.0922","0.997","0.7686","1.0271","1.1814"
"74","1.1236","0.5756","1.0727","3.5632","0.8316","1.3148","2.3885","0.9732000000000001","0.9884999999999999","0.5756","0.9844","0.9984"
"75","1.1948","0.7529","1.1108","1.3858000000000001","1.5896000000000001","1.1044","0.9746","1.3264","0.9814","0.5756","1.6907","0.9997"
"76","2.9356","0.812","0.7282","1.2012","1.0562","1.1734","1.6480000000000001","1.302","0.7318","0.5756","1.9224999999999999","1.0796000000000001"
"77","4.0119","0.5756","0.7282","1.2931","1.2671999999999999","1.1734","4.279999999999999","1.6317","1.192","0.6528","0.989","1.4153"
"78","1.4921","0.5756","0.7672","0.8434","1.0176","1.4478","1.5289","1.1322","0.995","0.8458","0.92","0.9915"
"79","1.186","0.5756","1.0045","0.7569","0.968","1.1934","1.3561999999999999","1.29","3.5428","0.6142","0.9452","1.1424"
"80","1.3012000000000001","0.5756","0.9546","0.857","2.915","0.9434","3.2782","0.994","1.0626","0.5756","1.035","1.0538"
"81","1.7183","0.5756","0.9397","1.2633","3.6088999999999998","0.9438","3.0181999999999998","1.0186","1.5747","0.5756","0.9959","1.7208"
"82","1.1804000000000001","0.5952999999999999","0.8202","1.0023","1.3246","0.8245","1.1882","0.9496","0.95","0.7493","0.85","1.0663"
"83","1.0199","0.8513999999999999","0.6714","1.0586","1.02","1.193","1.7501","1.0258","0.9312","0.8072","0.8572","1.0776"
"84","1.109","1.1737","1.1305","1.2475","0.8562","1.1674","1.0724","1.0493999999999999","0.9312","0.5756","0.8569","1.1691"
"85","1.1216","0.9634","0.9402999999999999","1.281","1.0157","0.9642000000000001","1.3121","1.203","1.0535999999999999","0.5756","1.1549","0.8855999999999999"
"86","1.2168","0.827","0.7091000000000001","1.7601","4.1799","0.9662","1.0711","0.8329","1.2425","0.9854","0.9902","0.7338"
"87","1.1908","0.8198","0.7229","0.8774","1.4562","1.0150000000000001","1.27","0.913","3.8278","0.9562999999999999","0.8596","0.8113"
"88","1.4943","0.8318","0.7758","3.5036","1.323","3.5254000000000003","0.71","0.899","1.026","0.8072","0.85","0.8626"
"89","0.9838","0.8258","0.8733","0.6383","0.99","2.9631","0.5756","0.9363","1.0043","0.5756","0.9299999999999999","1.7887"
"90","1.1263","0.8513999999999999","3.4853","0.9153","0.99","1.2502","0.5756","3.0420000000000003","0.8240000000000001","0.5756","1.2422","1.0927"
"91","1.2536","0.7135","4.0927","1.0223","1.1148","1.0908","0.5756","3.9004","1.0558","0.5756","1.0016","0.8626"
"92","1.0899","0.614","0.5756","0.8668","1.1484","1.0584","0.6332","1.4194","0.8539","1.9708","0.9732000000000001","0.8626"
"93","0.9984","0.5756","0.5756","0.8629","0.6271","0.8559","0.8444","1.12","0.6268","1.3567","0.9732000000000001","0.8245"
"94","0.5756","0.5756","0.6536","0.5756","0.7095","0.9778","0.6332","0.904","0.6329","1.1384","1.2793999999999999","0.8135"
"95","0.5756","0.8317","0.8486","0.8336","0.7661","1.5271000000000001","0.5756","0.6376","0.619","1.1384","1.1755","0.5756"
